item,geo,itemLabel,Capitale,CapitaleLabel
http://www.wikidata.org/entity/Q164819,Point(28.666389 46.316389),Gagaúzia,http://www.wikidata.org/entity/Q241122,Comrat
http://www.wikidata.org/entity/Q244165,Point(46.716666666 39.866666666),Artsaque,http://www.wikidata.org/entity/Q129352,Stepanakert
http://www.wikidata.org/entity/Q756617,Point(-6.844444444 61.97),Reino da Dinamarca,http://www.wikidata.org/entity/Q1748,Copenhaga
http://www.wikidata.org/entity/Q756617,Point(-40.0 72.0),Reino da Dinamarca,http://www.wikidata.org/entity/Q1748,Copenhaga
http://www.wikidata.org/entity/Q756617,Point(10.0 56.0),Reino da Dinamarca,http://www.wikidata.org/entity/Q1748,Copenhaga
http://www.wikidata.org/entity/Q907112,Point(29.624444444 46.842222222),Transnístria,http://www.wikidata.org/entity/Q132572,Tiraspol
http://www.wikidata.org/entity/Q913346,Point(-118.660833333 34.1675),Hidden Hills,http://www.wikidata.org/entity/Q913346,Hidden Hills
http://www.wikidata.org/entity/Q14541499,Point(-3.68741 36.745458),Acueducto romano,http://www.wikidata.org/entity/Q14541499,Acueducto romano
http://www.wikidata.org/entity/Q14541499,Point(-3.690090582 36.761286221),Acueducto romano,http://www.wikidata.org/entity/Q14541499,Acueducto romano
http://www.wikidata.org/entity/Q79266736,Point(19.5490977 43.0872087),Q79266736,http://www.wikidata.org/entity/Q79266736,Q79266736
http://www.wikidata.org/entity/Q90973611,Point(127.056663 38.01067),Hantangang Sports Park,http://www.wikidata.org/entity/Q90973611,Hantangang Sports Park
http://www.wikidata.org/entity/Q94999022,Point(10.81043385 47.11309357),Q94999022,http://www.wikidata.org/entity/Q94999022,Q94999022
http://www.wikidata.org/entity/Q101090284,Point(27.3493 56.2064),Asariņs,http://www.wikidata.org/entity/Q101090284,Asariņs
http://www.wikidata.org/entity/Q104109507,Point(127.520627 35.640353),Jangsu Grass Field,http://www.wikidata.org/entity/Q104109507,Jangsu Grass Field
http://www.wikidata.org/entity/Q104186784,Point(127.283577 35.607221),Imsil Stadium,http://www.wikidata.org/entity/Q104186784,Imsil Stadium
http://www.wikidata.org/entity/Q104186784,Point(127.283577 35.607221),Imsil Stadium,http://www.wikidata.org/entity/Q104186902,Imsil Sports Park
http://www.wikidata.org/entity/Q105082407,Point(33.747777777 21.869166666),Kingdom of Africa,http://www.wikidata.org/entity/Q105082407,Kingdom of Africa
http://www.wikidata.org/entity/Q105493691,Point(125.605368 -8.262112),Q105493691,http://www.wikidata.org/entity/Q105493691,Q105493691
http://www.wikidata.org/entity/Q258,Point(24.0 -29.0),África do Sul,http://www.wikidata.org/entity/Q3926,Pretória
http://www.wikidata.org/entity/Q258,Point(24.0 -29.0),África do Sul,http://www.wikidata.org/entity/Q5465,Cidade do Cabo
http://www.wikidata.org/entity/Q258,Point(24.0 -29.0),África do Sul,http://www.wikidata.org/entity/Q37701,Bloemfontein
http://www.wikidata.org/entity/Q262,Point(1.0 28.0),Argélia,http://www.wikidata.org/entity/Q3561,Argel
http://www.wikidata.org/entity/Q265,Point(66.0 41.0),Uzbequistão,http://www.wikidata.org/entity/Q269,Tasquente
http://www.wikidata.org/entity/Q298,Point(-71.0 -33.0),Chile,http://www.wikidata.org/entity/Q2887,Santiago
http://www.wikidata.org/entity/Q334,Point(103.8 1.3),Singapura,http://www.wikidata.org/entity/Q334,Singapura
http://www.wikidata.org/entity/Q347,Point(9.553889 47.145),Liechtenstein,http://www.wikidata.org/entity/Q1844,Vaduz
http://www.wikidata.org/entity/Q398,Point(50.551111 26.0675),Bahrein,http://www.wikidata.org/entity/Q3882,Manama
http://www.wikidata.org/entity/Q408,Point(137.0 -28.0),Austrália,http://www.wikidata.org/entity/Q3114,Camberra
http://www.wikidata.org/entity/Q414,Point(-64.0 -34.0),Argentina,http://www.wikidata.org/entity/Q1486,Buenos Aires
http://www.wikidata.org/entity/Q419,Point(-76.0 -9.4),Peru,http://www.wikidata.org/entity/Q2868,Lima
http://www.wikidata.org/entity/Q423,Point(127.0 40.0),Coreia do Norte,http://www.wikidata.org/entity/Q18808,Pyongyang
http://www.wikidata.org/entity/Q424,Point(105.0 12.6),Camboja,http://www.wikidata.org/entity/Q1850,Phnom Penh
http://www.wikidata.org/entity/Q574,Point(125.75 -8.966667),Timor-Leste,http://www.wikidata.org/entity/Q9310,Díli
http://www.wikidata.org/entity/Q657,Point(19.4 15.466667),Chade,http://www.wikidata.org/entity/Q3659,N'Djamena
http://www.wikidata.org/entity/Q664,Point(174.0 -41.2),Nova Zelândia,http://www.wikidata.org/entity/Q23661,Wellington
http://www.wikidata.org/entity/Q668,Point(83.0 22.8),Índia,http://www.wikidata.org/entity/Q987,Nova Deli
http://www.wikidata.org/entity/Q672,Point(178.005556 -7.475),Tuvalu,http://www.wikidata.org/entity/Q34126,Funafuti
http://www.wikidata.org/entity/Q683,Point(-172.0 -14.0),Samoa,http://www.wikidata.org/entity/Q36260,Apia
http://www.wikidata.org/entity/Q686,Point(168.016669444 -16.633330555),Vanuatu,http://www.wikidata.org/entity/Q37806,Port Vila
http://www.wikidata.org/entity/Q685,Point(159.816666666 -9.466666666),Ilhas Salomão,http://www.wikidata.org/entity/Q40921,Honiara
http://www.wikidata.org/entity/Q691,Point(147.0 -6.3),Papua-Nova Guiné,http://www.wikidata.org/entity/Q36526,Port Moresby
http://www.wikidata.org/entity/Q695,Point(134.55 7.466667),Palau,http://www.wikidata.org/entity/Q515229,Ngerulmud
http://www.wikidata.org/entity/Q697,Point(166.933333333 -0.533333333),Nauru,http://www.wikidata.org/entity/Q31026,Yaren
